startup,label,status
Agenus,2,operating
Aggregate Knowledge,1,acquired
AgilOne,2,operating
Agile Energy,2,operating
Agile Media Network,2,operating
Agile Sciences,2,operating
Agile Therapeutics,2,operating
AgileMD,2,operating
Agilence,2,operating
Agiliance,2,operating
Agilum Healthcare Intelligence,2,operating
Agilvax,2,operating
Agilyx,2,operating
Agios Pharmaceuticals,2,operating
Agito Networks,1,acquired
AgraQuest,1,acquired
Agradis,2,operating
Agrible,2,operating
"Agricultural Food Systems, LLC",2,operating
Agrisoma Biosciences,2,operating
Agrivida,2,operating
Agronomic Technology Corp,2,operating
Agworld Pty Ltd,2,operating
Ahalogy,2,operating
Ahura Scientific,1,acquired
Ai2 UK,2,operating
Aicent,1,acquired
Aidin,2,operating
Aigou,2,operating
Aileron Therapeutics,2,operating
Ailvxing net,2,operating
Aiming,2,operating
Aipai,2,operating
Air Ion Devices,2,operating
AirCast Mobile,2,operating
AirCell,2,operating
AirClic,1,acquired
AirMedia,2,operating
AirPOS,2,operating
AirTight Networks,2,operating
AirTouch Communications,2,operating
AirWalk Communications,2,operating
AirWatch,1,acquired
AirXpanders,2,operating
Airband Communications Holdings,2,operating
Airbiquity,2,operating
Airbnb,2,operating
Airborne Media Group,2,operating
Airborne Mobile,1,acquired
Airborne Technology,2,operating
Aircuity,2,operating
Aireum,2,operating
Airgain,2,operating
Airpersons,2,operating
Airphrame,2,operating
Airship Ventures,2,operating
Airside Mobile,2,operating
Airspan Networks,2,operating
Airstrip Technologies,2,operating
Airtasker,2,operating
Airtime,2,operating
Airware,2,operating
Airway Therapeutics,2,operating
Airwide Solutions,1,acquired
Airy Labs,2,operating
Aisle50,2,operating
AisleBuyer,1,acquired
Ak?Lex,2,operating
Akademos,2,operating
Akdemia,2,operating
Akebia Therapeutics,2,operating
Akella,0,closed
Akeneo,2,operating
Akermin,2,operating
AkesoGenX,2,operating
Akiban Technologies,2,operating
Akimbo,0,closed
Akimbo Financial,2,operating
Akimbo LLC,2,operating
Akonni Biosystems,2,operating
Akorri Networks,1,acquired
Akosha,2,operating
Akros Silicon,2,operating
Akshay Wellness,2,operating
Aktana,2,operating
AktiVax,2,operating
Aktino,1,acquired
Akustica,2,operating
Akvo,2,operating
Akvolution,2,operating
Alafair Biosciences,2,operating
Alaris,0,closed
Alawar Entertainment,2,operating
Albeo Technologies,1,acquired
Albert Medical Devices,2,operating
Alc Holdings,2,operating
Alces Technology,2,operating
Alchemia Oncology,2,operating
Alchip,2,operating
Alcresta,2,operating
Alcyone Lifesciences,2,operating
Aldagen,1,acquired
Aldebaran Robotics,2,operating
Alder Biopharmaceuticals,2,operating
Aldis,2,operating
Alea,2,operating
Alektrona,2,operating
AlephCloud Systems,2,operating
Alereon,2,operating
Alert Logic,2,operating
AlertEnterprise,2,operating
AlertMe,2,operating
AlertaPhone,2,operating
Alethia BioTherapeutics,2,operating
Alexza Pharmaceuticals,2,operating
Alfred,2,operating
Alfresco,2,operating
AlgEvolve,2,operating
Algaeon,2,operating
Algal Scientific,2,operating
Algebraix Data,2,operating
Algolia,2,operating
Algolux,2,operating
Ali,2,operating
Alianza,2,operating
Alibaba,2,operating
Alice.com,0,closed
Alien Technology,2,operating
AlienVault,2,operating
Aligned TeleHealth,2,operating
Alimera Sciences,2,operating
Alios BioPharma,1,acquired
AliveCor,2,operating
Aliveshoes,2,operating
Alizé Pharma,2,operating
Alkami Technology,2,operating
All Campus,2,operating
AllBusiness.com,2,operating
AllDigital,2,operating
AllTrails,2,operating
Allakos,2,operating
Alleantia,2,operating
Allegheny General Hospital,2,operating
Allegiance,1,acquired
Alliance Health Networks,2,operating
Allied Payment Network,2,operating
Allin corporation,2,operating
AlloCure,2,operating
Allocade,2,operating
Allocadia,2,operating
Allon Therapeutics,2,operating
Alloptic,0,closed
Allozyne,2,operating
Alltech Medical Systems,2,operating
Alltuition,2,operating
Allurion Technologies,2,operating
Allworx,1,acquired
Allyes Advertisement Network,2,operating
Allylix,1,acquired
Almashopping,2,operating
AlmondNet,2,operating
Almondy,2,operating
Alnara Pharmaceuticals,1,acquired
Alnylam Pharmaceuticals,2,operating
Alohar Mobile,2,operating
AlphaCare Holdings,2,operating
AlphaClone,2,operating
AlphaNation,0,closed
Alphabet Energy,2,operating
Alphatec Spine,2,operating
Alphion,2,operating
Alpine Data Labs,2,operating
AlpineReplay,2,operating
Alseres Pharmaceuticals,2,operating
Alsyon Technologies,2,operating
AltSchool,2,operating
Altair Semiconductor,2,operating
Altair Therapeutics,0,closed
Altavoz,2,operating
Altea Therapeutics,2,operating
Alter Eco,2,operating
Alter-G,2,operating
AlterG,2,operating
AlterGeo,2,operating
AlterPoint,1,acquired
"Alteryx, Inc.",2,operating
AltheaDx,2,operating
Altheos,0,closed
Altheus Therapeutics,2,operating
Altia Systems,2,operating
Altierre,2,operating
Altiostar Networks,2,operating
Altitude Digital,2,operating
Altius Education,1,acquired
Altobeam,2,operating
Altobridge,2,operating
Altor BioScience,2,operating
Altor Networks,1,acquired
AltraBiofuels,0,closed
Altrec.com,2,operating
Altruik,1,acquired
Altura Medical,2,operating
Alvine Pharmaceuticals,2,operating
Alyotech,2,operating
Amadesa,0,closed
Amalfi Semiconductor,1,acquired
Amarantus BioSciences,2,operating
Amazing Hiring,2,operating
Ambassador,2,operating
Ambature,2,operating
AmberPoint,1,acquired
AmberWave,2,operating
Ambient Control Systems,2,operating
Ambient Devices,2,operating
Ambient Industries,2,operating
Ambio Health,2,operating
Ambiq Micro,2,operating
Ambit Biosciences,1,acquired
"Ambition, Inc",2,operating
Ambow Education,2,operating
"Ambri, Inc.",2,operating
Ambric,1,acquired
Amedica,2,operating
Amen.,1,acquired
American Addiction Centers,2,operating
American BioCare,2,operating
American CareSource Holdings,2,operating
American Gene Technologies International,2,operating
American Hometown Media,2,operating
American Kidney Stone Management,2,operating
American Medical CO-OP,2,operating
American Renal Associates Holdings,2,operating
American Scientific Resources,2,operating
American Well,2,operating
AmericanTowns.com,2,operating
Amerityre,2,operating
Amicus,2,operating
Amicus Therapeutics,2,operating
Amie Street,1,acquired
Amigo da Cultura,2,operating
Amiigo,2,operating
Amimon,2,operating
Aminex Therapeutics,2,operating
Amnis,2,operating
Amobee,1,acquired
Amonix,2,operating
Amorcyte,1,acquired
Amorfix Life Sciences,2,operating
Amp'd Mobile,2,operating
Amphora Medical,2,operating
Ampio Pharmaceuticals,2,operating
Ampla Pharmaceuticals,2,operating
AmpliMed Corporation,0,closed
AmpliSense,2,operating
Amplidata,2,operating
Amplience,2,operating
Amplifinity,2,operating
Amplify.LA,2,operating
Amplion Clinical Communications,2,operating
Amplitude,2,operating
Amprius,2,operating
Ampulse,2,operating
Amrit Advanced Biotech,2,operating
Amulyte,2,operating
Amyris Biotechnologies,2,operating
Anacle Systems,2,operating
Anacor Pharmaceutical,2,operating
Anagran,0,closed
Analiza,2,operating
Analogix Semiconductor,2,operating
Analyte Health,2,operating
Anametrix,1,acquired
Anaphore,0,closed
Anaplan,2,operating
AnaptysBio,2,operating
Anaqua,2,operating
Anatole,2,operating
Ancera,2,operating
Ancestry,2,operating
Anchor Bay Technologies,1,acquired
"Anchor ID, Inc.",2,operating
Anchor Intelligence,0,closed
AnchorFree,2,operating
Ancora Pharmaceuticals,2,operating
Andegavia Cask Wines,2,operating
Andera,1,acquired
Andrew Technologies,2,operating
Anesiva,2,operating
Anevia,2,operating
Anexon,2,operating
AngelList,2,operating
Anghami,2,operating
Angie's List,2,operating
AngioChem,2,operating
AngioScore,1,acquired
AngioSlide,2,operating
Angle,2,operating
Aniboom,2,operating
Aniika,2,operating
Animal Cell Therapies,2,operating
Animalvitae,2,operating
Animoto,2,operating
Anipipo,2,operating
Aniways,2,operating
Anjuke,2,operating
Ankeena Networks,1,acquired
Anki,2,operating
Annai Systems,2,operating
Annelutfen.com,2,operating
Annex Products,2,operating
Annovation BioPharma,2,operating
Anobit Technologies,1,acquired
Anomo,2,operating
AnonymAsk,2,operating
Anser Innovation,2,operating
Answers Corporation,1,acquired
Ante Up,0,closed
Antengo,2,operating
Antenna Software,1,acquired
Anteryon,2,operating
Anthem Digital Media,2,operating
AntriaBio,2,operating
Anulex,2,operating
Anvato,2,operating
Anvil Semiconductors,2,operating
Any.DO,2,operating
AnyCloud,2,operating
AnyPerk,2,operating
AnyPresence,2,operating
AnybodyOutThere,2,operating
Anyfi Networks,2,operating
Anystream,1,acquired
Aorato,1,acquired
ApaceWave Technologies,2,operating
Apalya,2,operating
Apama Medical,2,operating
Apartment List,2,operating
Apcera,2,operating
Apellis Pharmaceuticals,2,operating
ApeniMED,1,acquired
Aperia Technologies,2,operating
Aperto Networks,1,acquired
Apervita,2,operating
Apex Clean Energy,2,operating
Apex Learning,2,operating
Apiary,2,operating
Apica,2,operating
Apieron,0,closed
Apigee,2,operating
Apio Systems,2,operating
Apiphany,1,acquired
Apixio,2,operating
Aplos Software,2,operating
ApnaPaisa,2,operating
Apnex Medical,0,closed
ApoVax,2,operating
Apogee Informatics,2,operating
Apollo Endosurgery,2,operating
ApolloMed,2,operating
Aponia Laboratories,0,closed
Apos Therapy,2,operating
Aposense,2,operating
Apozy,2,operating
App Annie,2,operating
App.io,2,operating
App.net,2,operating
App2you,2,operating
App47,2,operating
AppAddictive,2,operating
AppDirect,2,operating
AppDynamics,2,operating
AppEnsure,2,operating
AppFirst,2,operating
AppFog,1,acquired
AppGyver,2,operating
AppInstitute,2,operating
AppJet,1,acquired
AppLovin,2,operating
AppMesh,2,operating
AppNeta,2,operating
AppNexus,2,operating
AppSense,2,operating
AppShare,2,operating
AppTap,2,operating
AppThwack,2,operating
AppTrigger,1,acquired
Appbistro,2,operating
Appboy,2,operating
Appcelerator,2,operating
Appcore,2,operating
Appear Here,2,operating
Apperian,2,operating
Appetas,1,acquired
Appfolio,2,operating
Appforma,2,operating
Appia,1,acquired
Appian,2,operating
Appinions,2,operating
Appirio,2,operating
Appistry,2,operating
Appknox,2,operating
Applango,2,operating
Applaud,2,operating
Applause,2,operating
Applauze,2,operating
ApplePie Capital,2,operating
Applicasa,2,operating
Applied BioCode,2,operating
Applied Cavitation,2,operating
Applied DNA Sciences,2,operating
Applied Genetics Technologies Corporation,2,operating
Applied Identity,2,operating
Applied MicroStructures,2,operating
Applied Minerals,2,operating
Applied NanoTools,2,operating
Applied Optoelectronics,2,operating
Applied Predictive Technologies,2,operating
Applied Proteomics,2,operating
Applied Quantum Technologies,0,closed
Applied StemCell,2,operating
Applied Telemetrics Inc,2,operating
Applied Visual Sciences,2,operating
Applifier,1,acquired
Applix,2,operating
ApplyKit,2,operating
Appnomic Systems,2,operating
Appointuit,2,operating
Appolicious,2,operating
Apportable,2,operating
Appoxee,2,operating
Appreciation Engine,2,operating
Apprenda,2,operating
Apprion,2,operating
Approva,1,acquired
Apps4All,2,operating
AppsBuilder,2,operating
AppsFlyer,2,operating
AppsFunder,2,operating
Appscio,0,closed
Appsee,2,operating
Appsfire,2,operating
Appstores.com,1,acquired
Apptentive,2,operating
Apptera,1,acquired
ApptheGame,2,operating
Appticles,2,operating
Apptimate,2,operating
Apptimize,2,operating
Apptio,2,operating
Apptive,2,operating
Apptopia,2,operating
Appurify,1,acquired
Appwapp,2,operating
Appy Couple,2,operating
Aprecia Pharmaceuticals,2,operating
Aprius,2,operating
Apriva,2,operating
Apsalar,2,operating
Apse,2,operating
Aptana,1,acquired
Aptera,0,closed
Aptible,2,operating
Aptidata,2,operating
Aptito,1,acquired
Apto,2,operating
Apture,1,acquired
Aptus Endosystems,2,operating
AquaMost,2,operating
Aquamarine Power,2,operating
Aquantia,2,operating
Aquapharm Biodiscovery,0,closed
Aquaspy,2,operating
AqueSys,2,operating
Aquicore,2,operating
Aquinox Pharmaceuticals,2,operating
Aquion Energy,2,operating
Aqwise,2,operating
Aragon Pharmaceuticals,1,acquired
Arantech,1,acquired
Aras,2,operating
Aratana Therapeutics,2,operating
Arava Power Company,2,operating
Aravo Solutions,2,operating
Arbor Photonics,1,acquired
ArborMetrix,2,operating
Arbovax,2,operating
Arc Solutions,2,operating
ArcSight,1,acquired
ArcaNatura LLC,2,operating
Arcadia Biosciences,2,operating
"Arcametrics Systems, Inc.",2,operating
Arch Biopartners,2,operating
Arch Rock Corporation,1,acquired
Arch Therapeutics,2,operating
Archetype Media,0,closed
Archevos,2,operating
Archipelago,1,acquired
Architizer,2,operating
Archive Systems,2,operating
ArchiveSocial,2,operating
Arcion Therapeutics,2,operating
Arcot Systems,1,acquired
Arctic Island LLC,2,operating
Arctic Sand Technologies,2,operating
Arctic Silicon Devices,1,acquired
Arcturus Therapeutics Inc.,2,operating
Arcxis Biotechnologies,2,operating
Ardelyx,2,operating
Ardent Capital,2,operating
Ardian,1,acquired
Are You a Human,2,operating
Area 52 Games,2,operating
Arena Pharmaceuticals,2,operating
Arena Solutions,2,operating
Argos Risk,2,operating
Argos Therapeutics,2,operating
Argus Labs,2,operating
Argyle Data,2,operating
Argyle Social,2,operating
Aria Networks,2,operating
Aria Retirement Solutions,2,operating
Aria Systems,2,operating
Ariane Systems,2,operating
Aricent Group,2,operating
"Aries TCO, Inc.",2,operating
Arieso,1,acquired
